Model,MDO3014
Firmware Version,1.20

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.01,,
Horizontal Delay,0.05,,
Sample Interval,1e-06,,
Record Length,100000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,1,0.2,0.5
Vertical Position,0,-1.72,-3.18
,,,
,,,
,,,
Label,,,
TIME,CH2,CH3,CH4
5.6e-04,-2.08,0.128,0.57
5.6e-04,-2.12,0.128,0.59
5.6e-04,-2.12,0.12,0.59
5.6e-04,-2.12,0.136,0.57
5.6e-04,-2.08,0.128,0.57
5.6e-04,-2.08,0.128,0.59
5.6e-04,-2.08,0.128,0.61
5.6e-04,-2.08,0.12,0.57
5.6e-04,-2.08,0.128,0.59
5.6e-04,-2.08,0.128,0.61
5.7e-04,-2.12,0.136,0.57
5.7e-04,-2.12,0.128,0.59
5.7e-04,-2.08,0.12,0.59
5.7e-04,-2.08,0.128,0.59
5.7e-04,-2.08,0.128,0.59
5.7e-04,-2.08,0.136,0.59
5.7e-04,-2.08,0.128,0.57
5.7e-04,-2.12,0.128,0.57
5.7e-04,-2.08,0.128,0.57
5.7e-04,-2.08,0.128,0.57
5.8e-04,-2.08,0.12,0.59
5.8e-04,-2.12,0.136,0.59
5.8e-04,-2.12,0.12,0.57
5.8e-04,-2.04,0.128,0.59
5.8e-04,-2.12,0.128,0.59
5.8e-04,-2.08,0.136,0.61
5.8e-04,-2.08,0.12,0.59
5.8e-04,-2.04,0.128,0.59
5.8e-04,-2.08,0.12,0.59
5.8e-04,-2.08,0.12,0.59
5.9e-04,-2.04,0.128,0.59
5.9e-04,-2.04,0.112,0.59
5.9e-04,-2.08,0.12,0.57
5.9e-04,-2.08,0.128,0.59
5.9e-04,-2.04,0.136,0.61
5.9e-04,-2.12,0.128,0.59
5.9e-04,-2.08,0.136,0.59
5.9e-04,-2,0.136,0.57
5.9e-04,-2.08,0.128,0.57
5.9e-04,-2.04,0.128,0.57
6.0e-04,-2.08,0.136,0.57
6.0e-04,-2.08,0.128,0.59
6.0e-04,-2.12,0.128,0.61
6.0e-04,-2.08,0.128,0.59
6.0e-04,-2.12,0.136,0.59
6.0e-04,-2.08,0.136,0.59
6.0e-04,-2.08,0.128,0.57
6.0e-04,-2.08,0.12,0.59
6.0e-04,-2.08,0.136,0.59
6.0e-04,-2.08,0.128,0.61
6.1e-04,-2.08,0.128,0.59
6.1e-04,-2.04,0.128,0.59
6.1e-04,-2.08,0.128,0.59
6.1e-04,-2.08,0.128,0.59
6.1e-04,-2.08,0.128,0.59
6.1e-04,-2.08,0.128,0.59
6.1e-04,-2.08,0.128,0.57
6.1e-04,-2.08,0.12,0.59
6.1e-04,-2.08,0.12,0.57
6.1e-04,-2.08,0.128,0.57
6.2e-04,-2.08,0.128,0.59
6.2e-04,-2.04,0.128,0.59
6.2e-04,-2.08,0.128,0.61
6.2e-04,-2.08,0.136,0.59
6.2e-04,-2.04,0.128,0.59
6.2e-04,-2.08,0.128,0.59
6.2e-04,-2.08,0.128,0.57
6.2e-04,-2.08,0.12,0.59
6.2e-04,-2.08,0.128,0.59
6.2e-04,-2.08,0.128,0.57
6.3e-04,-2.08,0.136,0.57
6.3e-04,-2.08,0.128,0.59
6.3e-04,-2.12,0.12,0.59
6.3e-04,-2.08,0.128,0.59
6.3e-04,-2.08,0.128,0.59
6.3e-04,-2.08,0.128,0.59
6.3e-04,-2.08,0.136,0.57
6.3e-04,-2.04,0.128,0.59
6.3e-04,-2.08,0.128,0.59
6.3e-04,-2.08,0.128,0.59
6.4e-04,-2.04,0.128,0.57
6.4e-04,-2.04,0.128,0.61
6.4e-04,-2.04,0.128,0.59
6.4e-04,-2.04,0.136,0.61
